Location,Status,Time,ID,TempCelsius,Description,Attendence,StageName,Source,Target,DateTime,Winner,HomeTeamGoals,HomeTeamPenalties,AwayTeamGoals,AwayTeamPenalties,HomeTeamEvents,AwayteamEvents
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331519,22,Sunny,64468,First stage,Nigeria,Argentina,2018-06-26T18:00:00Z,Argentina,1,0,2,0,yellow-card - substitution-out - substitution-in - goal-penalty - goal-penalty - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in -  - ,goal,yellow-card - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - substitution-out
Kazan,Kazan Arena,completed,full-time,300331532,28,Sunny,41835,First stage,Korea Republic,Germany,2018-06-27T14:00:00Z,Korea Republic,2,0,0,0,yellow-card - yellow-card - yellow-card - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - goal - goal,substitution-out,substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  - 
Ekaterinburg,Ekaterinburg Arena,completed,full-time,300331548,27,Sunny,33061,First stage,Mexico,Sweden,2018-06-27T14:00:00Z,Sweden,0,0,3,0,yellow-card - yellow-card - substitution-out - substitution-in - goal-own - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in -  - ,yellow-card,goal - substitution-out - substitution-in - goal-penalty - substitution-out - substitution-in - substitution-out
Nizhny Novgorod,Nizhny Novgorod Stadium,completed,full-time,300331534,20,Clear Night,43319,First stage,Switzerland,Costa Rica,2018-06-27T18:00:00Z,Draw,2,0,2,0,goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - yellow-card - goal - goal-own,yellow-card,yellow-card - goal - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in
Moscow,Spartak Stadium,completed,full-time,300331521,24,Partly Cloudy,44190,First stage,Serbia,Brazil,2018-06-27T18:00:00Z,Brazil,0,0,2,0,yellow-card - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  - ,substitution-out,substitution-in - goal - substitution-out - substitution-in - goal - substitution-out - substitution-in
Volgograd,Volgograd Arena,completed,full-time,300331507,36,Sunny,42189,First stage,Japan,Poland,2018-06-28T14:00:00Z,Poland,0,0,1,0,substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in -  -  -  -  - ,goal,substitution-out - substitution-out - substitution-in - substitution-in -  -  - 
Samara,Samara Arena,completed,full-time,300331553,27,Sunny,41970,First stage,Senegal,Colombia,2018-06-28T14:00:00Z,Colombia,0,0,1,0,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  -  -  - ,substitution-out,substitution-in - yellow-card - goal - substitution-out - substitution-in - substitution-out - substitution-in
Kaliningrad,Kaliningrad Stadium,completed,full-time,300340182,21,Sunny,33973,First stage,England,Belgium,2018-06-28T18:00:00Z,Belgium,0,0,1,0,substitution-out - substitution-in - substitution-out - substitution-in -  -  -  -  -  -  -  - ,yellow-card,yellow-card - goal - substitution-out - substitution-in - substitution-out - substitution-in - 
Saransk,Mordovia Arena,completed,full-time,300331520,20,Clear Night,37168,First stage,Panama,Tunisia,2018-06-28T18:00:00Z,Tunisia,1,0,2,0,goal - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card - substitution-out - substitution-in - yellow-card -  - ,goal-own,yellow-card - substitution-out - substitution-in - goal - goal - yellow-card - substitution-out
Kazan,Kazan Arena,completed,full-time,300331537,28,Sunny,42873,Round of 16,France,Argentina,2018-06-30T14:00:00Z,France,4,0,3,0,goal-penalty - goal - goal - goal - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in,yellow-card,yellow-card - goal - yellow-card - substitution-out - substitution-in - goal - yellow-card
Sochi,Fisht Stadium,completed,full-time,300331544,27,Clear Night,44287,Round of 16,Uruguay,Portugal,2018-06-30T18:00:00Z,Uruguay,2,0,1,0,goal - goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  -  - ,goal,substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card
Moscow,Luzhniki Stadium,completed,full-time,300331517,24,Partly Cloudy,78011,Round of 16,Spain,Russia,2018-07-01T14:00:00Z,Russia,1,3,1,4,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  - ,goal-own,goal-penalty - goal-penalty - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in
Nizhny Novgorod,Nizhny Novgorod Stadium,completed,full-time,300331498,25,Partly Cloudy Night,40851,Round of 16,Croatia,Denmark,2018-07-01T18:00:00Z,Croatia,1,3,1,2,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in -  -  - ,goal,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
Samara,Samara Arena,completed,full-time,300331535,33,Sunny,41970,Round of 16,Brazil,Mexico,2018-07-02T14:00:00Z,Brazil,2,0,0,0,yellow-card - goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - goal - substitution-out - substitution-in -  - ,yellow-card,substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Rostov-On-Don,Rostov Arena,completed,full-time,300331551,25,Clear Night,41466,Round of 16,Belgium,Japan,2018-07-02T18:00:00Z,Belgium,3,0,2,0,substitution-out - substitution-out - substitution-in - substitution-in - goal - goal - goal -  -  -  -  - ,yellow-card,goal - goal - substitution-out - substitution-in - substitution-out - substitution-in - 
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331514,18,Partly Cloudy,64042,Round of 16,Sweden,Switzerland,2018-07-03T14:00:00Z,Sweden,1,0,0,0,yellow-card - goal - substitution-out - substitution-out - substitution-in - substitution-in - substitution-out - substitution-in -  -  -  - ,yellow-card,yellow-card - substitution-out - substitution-out - substitution-in - substitution-in - red-card - 
Moscow,Spartak Stadium,completed,full-time,300331542,18,Cloudy,44190,Round of 16,Colombia,England,2018-07-03T18:00:00Z,England,1,3,1,4,yellow-card - yellow-card - yellow-card - substitution-out - substitution-in - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - goal,yellow-card,goal-penalty - goal-penalty - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Nizhny Novgorod,Nizhny Novgorod Stadium,completed,full-time,300331543,22,Partly Cloudy,43319,Quarter-finals,Uruguay,France,2018-07-06T14:00:00Z,France,0,0,2,0,yellow-card - yellow-card - substitution-out - substitution-out - substitution-in - substitution-in - yellow-card - substitution-out - substitution-in -  -  - ,yellow-card,goal - goal - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Kazan,Kazan Arena,completed,full-time,300331538,20,Partly Cloudy Night,42873,Quarter-finals,Brazil,Belgium,2018-07-06T18:00:00Z,Belgium,1,0,2,0,goal-own - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - goal - yellow-card - yellow-card -  - ,goal,yellow-card - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Samara,Samara Arena,completed,full-time,300331541,26,Partly Cloudy,39991,Quarter-finals,Sweden,England,2018-07-07T14:00:00Z,England,0,0,2,0,substitution-out - substitution-out - substitution-in - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card - yellow-card -  -  - ,goal,goal - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - substitution-out
Sochi,Fisht Stadium,completed,full-time,300331504,24,Clear Night,44287,Quarter-finals,Russia,Croatia,2018-07-07T18:00:00Z,Croatia,2,3,2,4,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - goal - ,yellow-card,yellow-card - goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331531,18,Cloudy,64286,Semi-finals,France,Belgium,2018-07-10T18:00:00Z,France,1,0,0,0,goal - substitution-out - substitution-in - substitution-out - substitution-in - yellow-card - yellow-card -  -  -  -  - ,substitution-out,substitution-in - yellow-card - yellow-card - substitution-out - substitution-in - substitution-out - substitution-in
Moscow,Luzhniki Stadium,completed,full-time,300331522,21,Cloudy,78011,Semi-finals,Croatia,England,2018-07-11T18:00:00Z,Croatia,2,0,1,0,yellow-card - yellow-card - goal - substitution-out - substitution-in - yellow-card - substitution-out - substitution-in - goal - substitution-out - substitution-in - substitution-out,goal,yellow-card - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in
St. Petersburg,Saint Petersburg Stadium,completed,full-time,300331536,26,Partly Cloudy,64406,Play-off for third place,Belgium,England,2018-07-14T14:00:00Z,Belgium,2,0,0,0,goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out - substitution-in - goal - yellow-card -  -  - ,substitution-out,substitution-out - substitution-in - substitution-in - yellow-card - yellow-card - yellow-card - substitution-out
Moscow,Luzhniki Stadium,completed,full-time,300331552,27,Partly Cloudy,78011,Final,France,Croatia,2018-07-15T15:00:00Z,France,4,0,2,0,yellow-card - goal-penalty - goal-penalty - yellow-card - substitution-out - substitution-in - goal - goal - substitution-out - substitution-in - substitution-out - substitution-in,goal-own,goal - goal - substitution-out - substitution-in - substitution-out - substitution-in - substitution-out
